GeneSymbol	accession
ENSG00000214273	AGGF1P1	ENSG00000214273
ENSG00000249003	CLUHP4	ENSG00000249003
ENSG00000281591	DBET	ENSG00000281591
ENSG00000277162	U85056.1	ENSG00000277162
ENSG00000281720	DUX4L8	ENSG00000281720
ENSG00000281652	DUX4L7	ENSG00000281652
ENSG00000281058	DUX4L6	ENSG00000281058
ENSG00000280799	DUX4L5	ENSG00000280799
ENSG00000258834	DUX4L4	ENSG00000258834
ENSG00000280757	DUX4L1	ENSG00000280757
ENSG00000281627	DUX4L3	ENSG00000281627
ENSG00000280457	DUX4L2	ENSG00000280457
ENSG00000260596	DUX4	ENSG00000260596
ENSG00000261914	RPL23AP84	ENSG00000261914
ENSG00000282994	AC215524.1	ENSG00000282994
ENSG00000250020	AC113430.1	ENSG00000250020
ENSG00000153404	PLEKHG4B	ENSG00000153404
ENSG00000199540	Y_RNA	ENSG00000199540
ENSG00000185028	LRRC14B	ENSG00000185028
ENSG00000261434	AC021087.4	ENSG00000261434
ENSG00000164366	CCDC127	ENSG00000164366
ENSG00000260774	AC021087.3	ENSG00000260774
ENSG00000073578	SDHA	ENSG00000073578
ENSG00000248925	AC021087.1	ENSG00000248925
ENSG00000249915	PDCD6	ENSG00000249915
ENSG00000250848	AC021087.2	ENSG00000250848
ENSG00000063438	AHRR	ENSG00000063438
ENSG00000214278	AC010442.1	ENSG00000214278
ENSG00000250645	AC010442.2	ENSG00000250645
ENSG00000221990	EXOC3-AS1	ENSG00000221990
ENSG00000180104	EXOC3	ENSG00000180104
ENSG00000188242	PP7080	ENSG00000188242
ENSG00000225138	SLC9A3-AS1	ENSG00000225138
ENSG00000066230	SLC9A3	ENSG00000066230
ENSG00000250385	AC106772.2	ENSG00000250385
ENSG00000264233	MIR4456	ENSG00000264233
ENSG00000249650	AC106772.1	ENSG00000249650
ENSG00000112877	CEP72	ENSG00000112877
ENSG00000171368	TPPP	ENSG00000171368
ENSG00000271781	AC026740.1	ENSG00000271781
ENSG00000206077	ZDHHC11B	ENSG00000206077
ENSG00000249908	BRD9P2	ENSG00000249908
ENSG00000188818	ZDHHC11	ENSG00000188818
ENSG00000247872	SPCS2P3	ENSG00000247872
ENSG00000028310	BRD9	ENSG00000028310
ENSG00000071539	TRIP13	ENSG00000071539
ENSG00000248949	AC122719.1	ENSG00000248949
ENSG00000250173	AC122719.2	ENSG00000250173
ENSG00000215246	AC116351.1	ENSG00000215246
ENSG00000272347	AC116351.2	ENSG00000272347
ENSG00000145506	NKD2	ENSG00000145506
ENSG00000113504	SLC12A7	ENSG00000113504
ENSG00000263834	MIR4635	ENSG00000263834
ENSG00000249201	CTD-3080P12.3	ENSG00000249201
ENSG00000174358	SLC6A19	ENSG00000174358
ENSG00000164363	SLC6A18	ENSG00000164363
ENSG00000164362	TERT	ENSG00000164362
ENSG00000263670	MIR4457	ENSG00000263670
ENSG00000049656	CLPTM1L	ENSG00000049656
ENSG00000250584	LINC01511	ENSG00000250584
ENSG00000248951	MTCO2P32	ENSG00000248951
ENSG00000279908	AC026748.1	ENSG00000279908
ENSG00000142319	SLC6A3	ENSG00000142319
ENSG00000153395	LPCAT1	ENSG00000153395
ENSG00000273742	MIR6075	ENSG00000273742
ENSG00000251532	AC091849.2	ENSG00000251532
ENSG00000185986	SDHAP3	ENSG00000185986
ENSG00000271119	AC026412.3	ENSG00000271119
ENSG00000248126	AC091849.1	ENSG00000248126
ENSG00000188002	AC026412.1	ENSG00000188002
ENSG00000232615	AC026412.2	ENSG00000232615
ENSG00000263746	MIR4277	ENSG00000263746
ENSG00000260066	AC112176.1	ENSG00000260066
ENSG00000171421	MRPL36	ENSG00000171421
ENSG00000145494	NDUFS6	ENSG00000145494
ENSG00000249966	AC025183.2	ENSG00000249966
ENSG00000250417	LINC02116	ENSG00000250417
ENSG00000279222	AC025183.3	ENSG00000279222
ENSG00000113430	IRX4	ENSG00000113430
ENSG00000249116	AC025183.1	ENSG00000249116
ENSG00000249326	CTD-2194D22.4	ENSG00000249326
ENSG00000248994	AC126768.2	ENSG00000248994
ENSG00000248597	AC126768.1	ENSG00000248597
ENSG00000249731	AC126768.3	ENSG00000249731
ENSG00000201026	Y_RNA	ENSG00000201026
ENSG00000275733	AC092266.1	ENSG00000275733
ENSG00000281560	LSINCT5	ENSG00000281560
ENSG00000259757	AC091891.1	ENSG00000259757
ENSG00000170561	IRX2	ENSG00000170561
ENSG00000186493	C5orf38	ENSG00000186493
ENSG00000249541	AC116359.1	ENSG00000249541
ENSG00000248137	AC094105.1	ENSG00000248137
ENSG00000248736	AC112192.1	ENSG00000248736
ENSG00000249808	LINC01377	ENSG00000249808
ENSG00000248118	LINC01019	ENSG00000248118
ENSG00000249830	LINC02162	ENSG00000249830
ENSG00000250716	LINC01017	ENSG00000250716
ENSG00000170549	IRX1	ENSG00000170549
ENSG00000259603	AC016595.1	ENSG00000259603
ENSG00000248962	AC025773.1	ENSG00000248962
ENSG00000249994	AC025187.1	ENSG00000249994
ENSG00000250921	LINC02063	ENSG00000250921
ENSG00000260763	AC106799.3	ENSG00000260763
ENSG00000248973	AC106799.2	ENSG00000248973
ENSG00000231291	AC106799.1	ENSG00000231291
ENSG00000251371	AC010634.1	ENSG00000251371
ENSG00000249521	LINC02114	ENSG00000249521
ENSG00000248311	AC026719.1	ENSG00000248311
ENSG00000248467	AC026719.2	ENSG00000248467
ENSG00000249941	AC026415.1	ENSG00000249941
ENSG00000251506	AC010451.3	ENSG00000251506
ENSG00000250481	AC010451.1	ENSG00000250481
ENSG00000215231	LINC01020	ENSG00000215231
ENSG00000251426	AC010451.2	ENSG00000251426
ENSG00000250529	LINC02121	ENSG00000250529
ENSG00000223007	RN7SKP73	ENSG00000223007
ENSG00000250579	AC022424.1	ENSG00000250579
ENSG00000145536	ADAMTS16	ENSG00000145536
ENSG00000250866	AC022424.2	ENSG00000250866
ENSG00000251568	ALG3P1	ENSG00000251568
ENSG00000248729	MTCO1P30	ENSG00000248729
ENSG00000250808	MTCO2P30	ENSG00000250808
ENSG00000251476	MTCO1P31	ENSG00000251476
ENSG00000164151	ICE1	ENSG00000164151
ENSG00000261037	AC010266.2	ENSG00000261037
ENSG00000259861	AC010266.1	ENSG00000259861
ENSG00000278913	AC026797.1	ENSG00000278913
ENSG00000250730	HMGB3P3	ENSG00000250730
ENSG00000250490	LINC02145	ENSG00000250490
ENSG00000133398	MED10	ENSG00000133398
ENSG00000215218	UBE2QL1	ENSG00000215218
ENSG00000271230	AC027334.1	ENSG00000271230
ENSG00000250056	LINC01018	ENSG00000250056
ENSG00000037474	NSUN2	ENSG00000037474
ENSG00000145545	SRD5A1	ENSG00000145545
ENSG00000248677	LINC02102	ENSG00000248677
ENSG00000112941	PAPD7	ENSG00000112941
ENSG00000251365	AC122710.2	ENSG00000251365
ENSG00000272071	AC122710.3	ENSG00000272071
ENSG00000249734	LINC02236	ENSG00000249734
ENSG00000283420	MIR4278	ENSG00000283420
ENSG00000200243	RN7SKP79	ENSG00000200243
ENSG00000250060	AC122710.1	ENSG00000250060
ENSG00000250974	LINC02196	ENSG00000250974
ENSG00000212258	RNA5SP176	ENSG00000212258
ENSG00000237611	Metazoa_SRP	ENSG00000237611
ENSG00000248775	AC091951.3	ENSG00000248775
ENSG00000247732	AC091951.2	ENSG00000247732
ENSG00000205976	AC091951.1	ENSG00000205976
ENSG00000251250	AC091951.4	ENSG00000251250
ENSG00000251678	AC027343.3	ENSG00000251678
ENSG00000250668	LINC02123	ENSG00000250668
ENSG00000249638	AC027343.1	ENSG00000249638
ENSG00000249865	AC027343.2	ENSG00000249865
ENSG00000223597	LINC02142	ENSG00000223597
ENSG00000078295	ADCY2	ENSG00000078295
ENSG00000250761	AC093305.1	ENSG00000250761
ENSG00000215217	C5orf49	ENSG00000215217
ENSG00000124275	MTRR	ENSG00000124275
ENSG00000124279	FASTKD3	ENSG00000124279
ENSG00000251168	AC025174.1	ENSG00000251168
ENSG00000199773	RNU1-76P	ENSG00000199773
ENSG00000280338	AC091941.1	ENSG00000280338
ENSG00000280251	AC091912.2	ENSG00000280251
ENSG00000249486	AC091912.1	ENSG00000249486
ENSG00000245729	LINC02226	ENSG00000245729
ENSG00000249159	AC091965.1	ENSG00000249159
ENSG00000251549	AC091965.3	ENSG00000251549
ENSG00000272049	AC091965.4	ENSG00000272049
ENSG00000247516	MIR4458HG	ENSG00000247516
ENSG00000250037	AC091965.2	ENSG00000250037
ENSG00000279075	AC091965.5	ENSG00000279075
ENSG00000284000	MIR4458	ENSG00000284000
ENSG00000249782	AC027328.1	ENSG00000249782
ENSG00000279097	AC091953.2	ENSG00000279097
ENSG00000279264	AC091953.4	ENSG00000279264
ENSG00000250389	MTND6P2	ENSG00000250389
ENSG00000248765	MTCYBP37	ENSG00000248765
ENSG00000279002	AC091953.1	ENSG00000279002
ENSG00000280373	AC091953.5	ENSG00000280373
ENSG00000279125	AC091953.3	ENSG00000279125
ENSG00000280438	AC091932.4	ENSG00000280438
ENSG00000278877	AC091932.2	ENSG00000278877
ENSG00000260981	AC091932.1	ENSG00000260981
ENSG00000280185	AC091932.3	ENSG00000280185
ENSG00000250198	LINC02199	ENSG00000250198
ENSG00000279635	AC091895.1	ENSG00000279635
ENSG00000250619	AC021088.1	ENSG00000250619
ENSG00000112902	SEMA5A	ENSG00000112902
ENSG00000266415	MIR4636	ENSG00000266415
ENSG00000248537	AC091906.1	ENSG00000248537
ENSG00000279698	AC027335.2	ENSG00000279698
ENSG00000251370	SEMA5A-AS1	ENSG00000251370
ENSG00000250001	AC027335.1	ENSG00000250001
ENSG00000250786	SNHG18	ENSG00000250786
ENSG00000239112	SNORD123	ENSG00000239112
ENSG00000248525	AC026787.1	ENSG00000248525
ENSG00000169777	TAS2R1	ENSG00000169777
ENSG00000249781	LINC02112	ENSG00000249781
ENSG00000222054	RNA5SP177	ENSG00000222054
ENSG00000250814	LINC02221	ENSG00000250814
ENSG00000279011	AC091905.2	ENSG00000279011
ENSG00000279755	AC091905.3	ENSG00000279755
ENSG00000278874	AC091905.1	ENSG00000278874
ENSG00000280016	AC091905.4	ENSG00000280016
ENSG00000249807	AC034229.1	ENSG00000249807
ENSG00000280449	AC034229.6	ENSG00000280449
ENSG00000280368	AC034229.5	ENSG00000280368
ENSG00000260515	AC034229.2	ENSG00000260515
ENSG00000271998	AC034229.3	ENSG00000271998
ENSG00000272417	AC034229.4	ENSG00000272417
ENSG00000150756	FAM173B	ENSG00000150756
ENSG00000248968	AC012640.1	ENSG00000248968
ENSG00000150753	CCT5	ENSG00000150753
ENSG00000271980	AC012640.4	ENSG00000271980
ENSG00000271715	AC012640.3	ENSG00000271715
ENSG00000164237	CMBL	ENSG00000164237
ENSG00000252341	Y_RNA	ENSG00000252341
ENSG00000252671	Y_RNA	ENSG00000252671
ENSG00000280369	AC012640.5	ENSG00000280369
ENSG00000259802	AC012640.2	ENSG00000259802
ENSG00000145495	MARCH6	ENSG00000145495
ENSG00000250600	ROPN1L-AS1	ENSG00000250600
ENSG00000145491	ROPN1L	ENSG00000145491
ENSG00000277073	MIR6131	ENSG00000277073
ENSG00000246016	LINC01513	ENSG00000246016
ENSG00000244361	RPL30P7	ENSG00000244361
ENSG00000249166	AC092336.1	ENSG00000249166
ENSG00000249396	LINC02212	ENSG00000249396
ENSG00000249160	LINC02213	ENSG00000249160
ENSG00000280017	AC112200.2	ENSG00000280017
ENSG00000279450	AC112200.1	ENSG00000279450
ENSG00000164236	ANKRD33B	ENSG00000164236
ENSG00000250106	ANKRD33B-AS1	ENSG00000250106
ENSG00000251196	AC106760.1	ENSG00000251196
ENSG00000251548	AC106760.2	ENSG00000251548
ENSG00000279979	AC012629.4	ENSG00000279979
ENSG00000278865	AC012629.3	ENSG00000278865
ENSG00000112977	DAP	ENSG00000112977
ENSG00000272324	AC012629.2	ENSG00000272324
ENSG00000250576	AC012629.1	ENSG00000250576
ENSG00000169862	CTNND2	ENSG00000169862
ENSG00000207312	RNU6-429P	ENSG00000207312
ENSG00000212305	RNU6-679P	ENSG00000212305
ENSG00000248783	AC106771.1	ENSG00000248783
ENSG00000248131	LINC01194	ENSG00000248131
ENSG00000251112	AC106794.2	ENSG00000251112
ENSG00000249053	AC106794.1	ENSG00000249053
ENSG00000248457	LINC02220	ENSG00000248457
ENSG00000248145	AC016553.1	ENSG00000248145
ENSG00000242608	RPS23P5	ENSG00000242608
ENSG00000248462	NENFP3	ENSG00000248462
ENSG00000243744	AC016546.1	ENSG00000243744
ENSG00000039139	DNAH5	ENSG00000039139
ENSG00000251423	AC016576.1	ENSG00000251423
ENSG00000038382	TRIO	ENSG00000038382
ENSG00000145569	FAM105A	ENSG00000145569
ENSG00000248791	AC010627.1	ENSG00000248791
ENSG00000250526	CCT6P2	ENSG00000250526
ENSG00000250182	EEF1A1P13	ENSG00000250182
ENSG00000261360	AC010491.1	ENSG00000261360
ENSG00000154124	OTULIN	ENSG00000154124
ENSG00000154122	ANKH	ENSG00000154122
ENSG00000249485	RBBP4P1	ENSG00000249485
ENSG00000264792	MIR4637	ENSG00000264792
ENSG00000272057	AC016575.1	ENSG00000272057
ENSG00000249928	UQCRBP3	ENSG00000249928
ENSG00000250662	HNRNPKP5	ENSG00000250662
ENSG00000250247	SEPHS2P1	ENSG00000250247
ENSG00000202269	U8	ENSG00000202269
ENSG00000249332	AC016651.1	ENSG00000249332
ENSG00000248486	LINC02149	ENSG00000248486
ENSG00000248834	MARK2P5	ENSG00000248834
ENSG00000248699	AC114964.1	ENSG00000248699
ENSG00000183580	FBXL7	ENSG00000183580
ENSG00000250250	CTD-2350J17.1	ENSG00000250250
ENSG00000216077	MIR887	ENSG00000216077
ENSG00000222312	RNA5SP178	ENSG00000222312
ENSG00000183654	MARCH11	ENSG00000183654
ENSG00000250981	AC016650.1	ENSG00000250981
ENSG00000250448	AC092335.1	ENSG00000250448
ENSG00000248403	NACAP6	ENSG00000248403
ENSG00000248150	LINC02150	ENSG00000248150
ENSG00000249737	AC020980.1	ENSG00000249737
ENSG00000173545	ZNF622	ENSG00000173545
ENSG00000154153	RETREG1	ENSG00000154153
ENSG00000246214	AC022113.1	ENSG00000246214
ENSG00000250415	AC022113.2	ENSG00000250415
ENSG00000201370	Y_RNA	ENSG00000201370
ENSG00000145555	MYO10	ENSG00000145555
ENSG00000253093	RNA5SP179	ENSG00000253093
ENSG00000243538	RPS26P28	ENSG00000243538
ENSG00000201436	RNU6-660P	ENSG00000201436
ENSG00000176788	BASP1	ENSG00000176788
ENSG00000271892	AC026790.2	ENSG00000271892
ENSG00000206814	Y_RNA	ENSG00000206814
ENSG00000215196	AC026790.1	ENSG00000215196
ENSG00000251990	RNA5SP180	ENSG00000251990
ENSG00000250816	DCAF13P2	ENSG00000250816
ENSG00000252908	RNU6-1003P	ENSG00000252908
ENSG00000185296	AC026785.1	ENSG00000185296
ENSG00000201715	RN7SKP133	ENSG00000201715
ENSG00000223361	FTH1P10	ENSG00000223361
ENSG00000248223	AC026785.2	ENSG00000248223
ENSG00000249199	AC026785.3	ENSG00000249199
ENSG00000250822	LINC02111	ENSG00000250822
ENSG00000248455	LINC02217	ENSG00000248455
ENSG00000249662	LINC02218	ENSG00000249662
ENSG00000284552	AC106774.10	ENSG00000284552
ENSG00000268799	AC106774.4	ENSG00000268799
ENSG00000250667	AC106774.3	ENSG00000250667
ENSG00000284373	AC106774.8	ENSG00000284373
ENSG00000248205	AC106774.1	ENSG00000248205
ENSG00000249620	AC106774.2	ENSG00000249620
ENSG00000284439	AC106774.9	ENSG00000284439
ENSG00000284283	AC106774.7	ENSG00000284283
ENSG00000284234	AC106774.6	ENSG00000284234
ENSG00000284042	AC106774.5	ENSG00000284042
ENSG00000284465	AC233724.21	ENSG00000284465
ENSG00000250088	AC233724.8	ENSG00000250088
ENSG00000283967	AC233724.18	ENSG00000283967
ENSG00000283988	AC233724.19	ENSG00000283988
ENSG00000284356	AC233724.20	ENSG00000284356
ENSG00000248422	AC233724.3	ENSG00000248422
ENSG00000249282	AC233724.7	ENSG00000249282
ENSG00000283740	AC233724.16	ENSG00000283740
ENSG00000249156	AC233724.6	ENSG00000249156
ENSG00000271296	AC233724.14	ENSG00000271296
ENSG00000250351	AC233724.9	ENSG00000250351
ENSG00000250386	AC233724.10	ENSG00000250386
ENSG00000283776	AC233724.17	ENSG00000283776
ENSG00000250782	AC233724.12	ENSG00000250782
ENSG00000248471	AC233724.4	ENSG00000248471
ENSG00000248160	AC233724.1	ENSG00000248160
ENSG00000248542	AC233724.5	ENSG00000248542
ENSG00000248337	AC233724.2	ENSG00000248337
ENSG00000269466	AC233724.13	ENSG00000269466
ENSG00000274832	AC233724.15	ENSG00000274832
ENSG00000250715	AC233724.11	ENSG00000250715
ENSG00000249937	LINC02223	ENSG00000249937
ENSG00000240785	RPL36AP21	ENSG00000240785
ENSG00000212278	SNORD81	ENSG00000212278
ENSG00000241552	RN7SL58P	ENSG00000241552
ENSG00000248693	LINC02100	ENSG00000248693
ENSG00000249191	UBE2V1P12	ENSG00000249191
ENSG00000249927	AC025768.1	ENSG00000249927
ENSG00000249285	AC114981.1	ENSG00000249285
ENSG00000276764	Metazoa_SRP	ENSG00000276764
ENSG00000249174	AC106744.1	ENSG00000249174
ENSG00000251487	AC106744.2	ENSG00000251487
ENSG00000242654	RPL32P14	ENSG00000242654
ENSG00000249557	HSPD1P15	ENSG00000249557
ENSG00000145526	CDH18	ENSG00000145526
ENSG00000248766	AC093303.1	ENSG00000248766
ENSG00000214132	AC094103.1	ENSG00000214132
ENSG00000249854	CDH18-AS1	ENSG00000249854
ENSG00000251629	LINC02241	ENSG00000251629
ENSG00000249490	LINC02146	ENSG00000249490
ENSG00000248308	AC138938.1	ENSG00000248308
ENSG00000248286	AC140172.1	ENSG00000248286
ENSG00000249359	AC093274.1	ENSG00000249359
ENSG00000183666	GUSBP1	ENSG00000183666
ENSG00000233974	AC138951.1	ENSG00000233974
ENSG00000279107	AC138951.2	ENSG00000279107
ENSG00000272130	AC091946.2	ENSG00000272130
ENSG00000253766	AC091946.1	ENSG00000253766
ENSG00000154162	CDH12	ENSG00000154162
ENSG00000213430	HSPD1P1	ENSG00000213430
ENSG00000253104	AC139497.1	ENSG00000253104
ENSG00000168967	PMCHL1	ENSG00000168967
ENSG00000249206	GCNT1P2	ENSG00000249206
ENSG00000249404	AC010445.1	ENSG00000249404
ENSG00000250319	AC010460.2	ENSG00000250319
ENSG00000206912	Y_RNA	ENSG00000206912
ENSG00000250332	AC010460.3	ENSG00000250332
ENSG00000249289	AC010460.1	ENSG00000249289
ENSG00000164256	PRDM9	ENSG00000164256
ENSG00000248591	AC109445.1	ENSG00000248591
ENSG00000249607	AC108103.1	ENSG00000249607
ENSG00000248874	C5orf17	ENSG00000248874
ENSG00000252083	SNORA40	ENSG00000252083
ENSG00000234865	AC026784.1	ENSG00000234865
ENSG00000200600	Y_RNA	ENSG00000200600
ENSG00000226432	AC010342.1	ENSG00000226432
ENSG00000250694	AC010387.1	ENSG00000250694
ENSG00000277455	Metazoa_SRP	ENSG00000277455
ENSG00000040731	CDH10	ENSG00000040731
ENSG00000251294	AC091885.2	ENSG00000251294
ENSG00000249562	AC091885.1	ENSG00000249562
ENSG00000250099	AC091893.1	ENSG00000250099
ENSG00000248156	BTG4P1	ENSG00000248156
ENSG00000223004	SNORD29	ENSG00000223004
ENSG00000248908	LINC02239	ENSG00000248908
ENSG00000250524	AC106821.1	ENSG00000250524
ENSG00000199911	Y_RNA	ENSG00000199911
ENSG00000251273	LINC02228	ENSG00000251273
ENSG00000245662	LINC02211	ENSG00000245662
ENSG00000251654	AC099499.1	ENSG00000251654
ENSG00000260761	AC106754.1	ENSG00000260761
ENSG00000279671	AC106754.2	ENSG00000279671
ENSG00000248605	AC022140.1	ENSG00000248605
ENSG00000279531	AC022140.2	ENSG00000279531
ENSG00000201016	RNU6-374P	ENSG00000201016
ENSG00000279869	AC022418.1	ENSG00000279869
ENSG00000251593	MSNP1	ENSG00000251593
ENSG00000222560	RNU4-43P	ENSG00000222560
ENSG00000249099	AC025475.1	ENSG00000249099
ENSG00000230571	AC113347.1	ENSG00000230571
ENSG00000248426	AC113347.2	ENSG00000248426
ENSG00000250703	AC113347.3	ENSG00000250703
ENSG00000251033	AC113347.4	ENSG00000251033
ENSG00000249616	CCNB3P1	ENSG00000249616
ENSG00000113100	CDH9	ENSG00000113100
ENSG00000207261	RNU6-738P	ENSG00000207261
ENSG00000248490	AC113355.1	ENSG00000248490
ENSG00000250337	LINC01021	ENSG00000250337
ENSG00000250079	AC093300.1	ENSG00000250079
ENSG00000249785	LINC02103	ENSG00000249785
ENSG00000252867	RNU6-909P	ENSG00000252867
ENSG00000250453	AC008825.1	ENSG00000250453
ENSG00000270495	AC008825.2	ENSG00000270495
ENSG00000271035	AC010385.2	ENSG00000271035
ENSG00000162685	LSP1P3	ENSG00000162685
ENSG00000226400	AC010385.1	ENSG00000226400
ENSG00000277878	AC010385.3	ENSG00000277878
ENSG00000249226	SUCLG2P4	ENSG00000249226
ENSG00000252601	SNORA18	ENSG00000252601
ENSG00000248687	AC024589.1	ENSG00000248687
ENSG00000270430	AC024589.2	ENSG00000270430
ENSG00000259786	LINC02109	ENSG00000259786
ENSG00000248391	LINC02064	ENSG00000248391
ENSG00000276098	AC027345.1	ENSG00000276098
ENSG00000248418	UBL5P1	ENSG00000248418
ENSG00000250984	AC108082.1	ENSG00000250984
ENSG00000249744	AC010374.2	ENSG00000249744
ENSG00000233787	AC010374.1	ENSG00000233787
ENSG00000223136	RN7SKP207	ENSG00000223136
ENSG00000280305	AC018765.1	ENSG00000280305
ENSG00000250587	HPRT1P2	ENSG00000250587
ENSG00000250118	AC114300.1	ENSG00000250118
ENSG00000241668	RPL19P11	ENSG00000241668
ENSG00000253940	AC026421.1	ENSG00000253940
ENSG00000254138	AC113386.1	ENSG00000254138
ENSG00000113361	CDH6	ENSG00000113361
ENSG00000250482	DUX4L51	ENSG00000250482
ENSG00000113360	DROSHA	ENSG00000113360
ENSG00000206682	Y_RNA	ENSG00000206682
ENSG00000082213	C5orf22	ENSG00000082213
ENSG00000279923	AC022417.1	ENSG00000279923
ENSG00000199765	RNU6-363P	ENSG00000199765
ENSG00000133401	PDZD2	ENSG00000133401
ENSG00000248624	AC022447.2	ENSG00000248624
ENSG00000248878	AC022447.4	ENSG00000248878
ENSG00000249114	AC022447.5	ENSG00000249114
ENSG00000248813	AC022447.3	ENSG00000248813
ENSG00000248378	AC022447.1	ENSG00000248378
ENSG00000250164	AC022447.7	ENSG00000250164
ENSG00000249688	AC022447.6	ENSG00000249688
ENSG00000252373	RNU6-358P	ENSG00000252373
ENSG00000224282	AC010469.1	ENSG00000224282
ENSG00000251887	RNU6-760P	ENSG00000251887
ENSG00000241739	AC010469.2	ENSG00000241739
ENSG00000243914	RPL5P14	ENSG00000243914
ENSG00000214108	TPT1P5	ENSG00000214108
ENSG00000249774	AC025458.1	ENSG00000249774
ENSG00000266243	MIR4279	ENSG00000266243
ENSG00000250764	AC025178.1	ENSG00000250764
ENSG00000113384	GOLPH3	ENSG00000113384
ENSG00000200065	Y_RNA	ENSG00000200065
ENSG00000272086	AC025181.2	ENSG00000272086
ENSG00000230829	AC025181.1	ENSG00000230829
ENSG00000150712	MTMR12	ENSG00000150712
ENSG00000199731	RNU6-1079P	ENSG00000199731
ENSG00000207052	RNU6-378P	ENSG00000207052
ENSG00000056097	ZFR	ENSG00000056097
ENSG00000207956	MIR579	ENSG00000207956
ENSG00000249142	AC074134.1	ENSG00000249142
ENSG00000113387	SUB1	ENSG00000113387
ENSG00000250885	LINC02061	ENSG00000250885
ENSG00000113389	NPR3	ENSG00000113389
ENSG00000251062	AC025459.1	ENSG00000251062
ENSG00000250697	AC010343.3	ENSG00000250697
ENSG00000248279	LINC02120	ENSG00000248279
ENSG00000249102	AC034223.1	ENSG00000249102
ENSG00000251281	AC034223.2	ENSG00000251281
ENSG00000250672	AC010343.2	ENSG00000250672
ENSG00000240376	AC010343.1	ENSG00000240376
ENSG00000251443	LINC02160	ENSG00000251443
ENSG00000249572	AC034231.1	ENSG00000249572
ENSG00000113407	TARS	ENSG00000113407
ENSG00000249360	AC034232.1	ENSG00000249360
ENSG00000250583	AC034232.2	ENSG00000250583
ENSG00000151388	ADAMTS12	ENSG00000151388
ENSG00000201623	RNU6-923P	ENSG00000201623
ENSG00000182631	RXFP3	ENSG00000182631
ENSG00000164175	SLC45A2	ENSG00000164175
ENSG00000250914	AC139783.2	ENSG00000250914
ENSG00000242110	AMACR	ENSG00000242110
ENSG00000273294	C1QTNF3-AMACR	ENSG00000273294
ENSG00000250767	AC139783.1	ENSG00000250767
ENSG00000082196	C1QTNF3	ENSG00000082196
ENSG00000278900	AC139792.2	ENSG00000278900
ENSG00000279995	AC139792.3	ENSG00000279995
ENSG00000271771	AC139792.1	ENSG00000271771
ENSG00000215158	AC138409.2	ENSG00000215158
ENSG00000215156	AC138409.1	ENSG00000215156
ENSG00000249380	AC138853.1	ENSG00000249380
ENSG00000271874	AC025754.2	ENSG00000271874
ENSG00000039560	RAI14	ENSG00000039560
ENSG00000250234	AC025754.1	ENSG00000250234
ENSG00000272323	AC026801.3	ENSG00000272323
ENSG00000205838	TTC23L	ENSG00000205838
ENSG00000250140	AC026801.2	ENSG00000250140
ENSG00000241829	AC026801.1	ENSG00000241829
ENSG00000113456	RAD1	ENSG00000113456
ENSG00000113460	BRIX1	ENSG00000113460
ENSG00000168724	DNAJC21	ENSG00000168724
ENSG00000113492	AGXT2	ENSG00000113492
ENSG00000113494	PRLR	ENSG00000113494
ENSG00000250886	AC010368.1	ENSG00000250886
ENSG00000201368	U3	ENSG00000201368
ENSG00000152582	SPEF2	ENSG00000152582
ENSG00000238441	RNU7-130P	ENSG00000238441
ENSG00000248969	AC137810.1	ENSG00000248969
ENSG00000168685	IL7R	ENSG00000168685
ENSG00000279737	AC112204.3	ENSG00000279737
ENSG00000248349	AC112204.1	ENSG00000248349
ENSG00000152611	CAPSL	ENSG00000152611
ENSG00000249748	AC112204.2	ENSG00000249748
ENSG00000145626	UGT3A1	ENSG00000145626
ENSG00000168671	UGT3A2	ENSG00000168671
ENSG00000251591	AC016612.1	ENSG00000251591
ENSG00000164187	LMBRD2	ENSG00000164187
ENSG00000207756	MIR580	ENSG00000207756
ENSG00000145604	SKP2	ENSG00000145604
ENSG00000201223	RNU6-1305P	ENSG00000201223
ENSG00000152620	NADK2	ENSG00000152620
ENSG00000245711	NADK2-AS1	ENSG00000245711
ENSG00000164188	RANBP3L	ENSG00000164188
ENSG00000222178	RNA5SP181	ENSG00000222178
ENSG00000242292	AC010631.1	ENSG00000242292
ENSG00000079215	SLC1A3	ENSG00000079215
ENSG00000274441	AC008957.2	ENSG00000274441
ENSG00000250155	AC008957.1	ENSG00000250155
ENSG00000279400	AC008957.3	ENSG00000279400
ENSG00000272103	AC026741.1	ENSG00000272103
ENSG00000164190	NIPBL	ENSG00000164190
ENSG00000249850	KRT18P31	ENSG00000249850
ENSG00000244073	RPS4XP6	ENSG00000244073
ENSG00000197603	C5orf42	ENSG00000197603
ENSG00000271378	C8orf59P2	ENSG00000271378
ENSG00000228212	OFD1P17	ENSG00000228212
ENSG00000242493	RN7SL37P	ENSG00000242493
ENSG00000270558	AC025449.1	ENSG00000270558
ENSG00000113569	NUP155	ENSG00000113569
ENSG00000251880	RNU7-75P	ENSG00000251880
ENSG00000250455	AC117532.1	ENSG00000250455
ENSG00000082068	WDR70	ENSG00000082068
ENSG00000248216	KCTD9P5	ENSG00000248216
ENSG00000222743	RNU6-1190P	ENSG00000222743
ENSG00000206743	RNU6-484P	ENSG00000206743
ENSG00000248587	GDNF-AS1	ENSG00000248587
